aardvark|anteater,placental
abacus|calculator,tablet
abaft|aft,astern
abalone|gastropod,univalve
abandoned|derelict,uninhabited,uninhibited
abashment|bashfulness,embarrassment
abbess|prioress,superior
abbey|church,convent,monastery
abbreviated|brief,short,truncated
abbreviation|form,shortening
abdicate|renounce,resign,vacate
abdomen|belly,cavity,stomach
abetter|abettor,accessory
abettor|abetter,accessory
abeyance|inaction,inactivity,suspension
abjection|abasement,degradation,humiliation
able-bodied|able,fit,healthy
ablution|ritual,wash,washing
ably|aptly,capably,competently
abolition|conclusion,ending,termination
abolitionism|doctrine,ism,philosophy
abolitionist|crusader,reformer
abortionist|doc,doctor,physician
abortive|stillborn,unfruitful,unsuccessful
abracadabra|gibber,gibberish
abrade|rub,scour
abroad|afield,foreign,overseas
abrogation|annulment,cancellation,repeal
abruptly|dead,short,suddenly
abscessed|infected,septic
absentee|traveler,traveller
absently|absentmindedly,abstractedly,inattentively
absentminded|absent,abstracted,inattentive
absentmindedly|absently,abstractedly,inattentively
absentmindedness|absorption,engrossment,preoccupation
absinth|absinthe,cordial,liqueur
absolutely|dead,perfectly,utterly
absolutist|adherent,disciple,ideology
absolve|forgive,free,justify
abstain|desist,forbear,refrain
abstention|abstinence,self-denial,self-discipline
abstractedly|absently,absentmindedly,inattentively
abstruse|deep,esoteric,recondite
abundance|copiousness,quantity,ratio
abundantly|copiously,extravagantly,profusely
abuser|offender,wrongdoer
abutment|point,support
academe|academia,domain,world
academia|academe,domain,world
accentual|inflection,prosody
acceptably|so-so,tolerably
acclimation|acclimatization,adaptation,adjustment
acclimatization|acclimation,adaptation,adjustment
accompanist|instrumentalist,musician,player
accomplished|complete,settled,skilled
accordionist|instrumentalist,musician,player
accreditation|certification,enfranchisement
accrual|accumulation,increase,step-up
accrue|fall,increase
accumulative|acquisitive,additive,cumulative
accuracy|quality,truth
accusative|accusatory,objective,oblique
accused|defendant,suspect
acetaminophen|analgesic,anodyne,painkiller
acetate|rayon,salt
achievement|accomplishment,action
acidic|acid,acidulous,sour
acidify|sour,turn
acidity|sour,sourness,tartness
acidulous|acid,acidic,sour
acolyte|clergyman,reverend
acoustical|acoustic,physics
acquaintanceship|acquaintance,relationship
acquiesce|accede,agree,assent
acquiescence|acceptance,agreement,assent
acquiescent|biddable,obedient
acreage|area,expanse
acrimonious|bitter,resentful
acrobat|athlete,jock
acrobatic|active,athletic,gymnastic
acropolis|bastion,citadel
across|crossways,crosswise
activator|matter,substance
actress|actor,player,thespian
actuality|being,existence
actuarial|calculator,computer,estimator
acumen|astuteness,perspicacity,shrewdness
acupressure|shiatsu,treatment
acyclovir|medicament,medication,medicine
adaptor|adapter,device
addendum|matter,postscript,supplement
additional|additive,extra
addressee|receiver,recipient
adequacy|adequateness,quality,sufficiency
adherent|adhesive,disciple,follower
adipose|fat,fatty
adjacency|closeness,contiguity,nearness
adjudication|assessment,judgement,judgment
adjuration|appeal,entreaty,prayer
adjustable|adaptable,changeable
adjuster|adjustor,investigator
adjustor|adjuster,investigator
adman|advertiser,publicist
admirable|estimable,pleasing
admirably|commendable,laudably
admissibility|acceptability,acceptableness
admissible|allowable,permissible
admittedly|avowedly,confessedly
adobe|brick,clay
adoptive|adopted,foster,surrogate
adorer|admirer,lover
adornment|decoration,ornament,ornamentation
adulate|blandish,flatter
adulator|flatterer,follower
adulteration|change,debasement,impurity
adulterer|debauchee,fornicator,libertine
adumbration|anticipation,prediction,representation
adventitious|accidental,extrinsic
adverb|modifier,qualifier
adversity|hardship,misfortune
advertiser|adman,publicist
advisability|soundness,wisdom
advisedly|deliberately,intentionally,purposely
advisement|consideration,deliberation
adviser|advisor,authority,consultant
advisor|adviser,authority,consultant
aeon|age,eon,years
aeration|action,activity
aerator|apparatus,setup
aerie|eyrie,habitation
aerobatics|acrobatics,flight,flying
aeronautic|aeronautical,physics
aeronautical|aeronautic,physics
aeronautics|astronautics,physics
aerosol|cloud,dispenser
aerospace|part,region
aesthete|cognoscenti,connoisseur,esthete
aesthetics|esthetics,philosophy
affably|amiably,genially
affecting|moving,poignant,touching
affectingly|poignantly,touchingly
affectionately|dear,dearly
affidavit|instrument,testimony
affix|append,attach,supplement
affluence|richness,wealth,wealthiness
affordable|cheap,inexpensive
afforest|forest,plant,set
aflutter|excited,nervous
afoot|current,moving,underway
aforementioned|aforesaid,said,same
aforesaid|aforementioned,said,same
afoul|foul,tangled
afterlife|hereafter,life,lifetime
agape|gaping,love,open
agar|agar-agar,gum,medium
agar-agar|agar,gum
age-old|antique,old
ageism|discrimination,favoritism
agelessness|fixity,immutability
aggrandizement|elevation,increase,step-up
aggravated|angry,intense
aggrieve|afflict,grieve,wrong
aghast|afraid,appalled,shocked
agility|gracefulness,lightness,nimbleness
aging|old,senescence,senescent
aglow|bright,lambent,luminous
agnosticism|disbelief,skepticism,unbelief
agrarian|agricultural,farming,rural
agreeably|enjoyably,pleasantly
agribusiness|agriculture,business
aide-de-camp|adjutant,aide,officer
aileron|airfoil,surface
airfare|fare,transportation
airfield|facility,field,installation
airflow|flow,flowing
airfoil|device,surface
airless|close,stuffy
airline|airway,hose,line
airliner|airplane,plane
airmail|mail,post,send
airman|aviator,flier,flyer
airport|airfield,field
airspace|air,atmosphere,space
airstrip|airfield,field,strip
airtight|invulnerable,tight
alas|regrettably,unfortunately,unluckily
albacore|tuna,tunny
album|book,medium,volume
alchemist|intellect,intellectual
alchemy|chemistry,pseudoscience
alcove|bay,niche,recess
alder|tree,wood
alehouse|pub,saloon
alfalfa|fodder,medic,trefoil
algorithm|formula,rule
alienated|disoriented,estranged,unloved
alienist|psychiatrist,shrink
alike|like,likewise,similar
alkali|base,compound,salt
all-around|all-round,comprehensive,well-rounded
all-fired|bloody,immoderate
all-important|crucial,essential,important
all-night|long,nightlong,overnight
all-out|complete,full-scale
all-round|all-around,comprehensive,well-rounded
allegation|accusation,claim
alleged|questionable,so-called,supposed
allegoric|allegorical,representative
allegorical|allegoric,representative
allegretto|fast,tempo
allele|factor,gene
allergen|matter,substance
allergenic|matter,substance
allergic|hypersensitive,susceptible
allergist|doc,doctor,physician
alley|alleyway,lane,street
alleyway|alley,street
allies|alignment,alliance,coalition
alligator|crack,gator,leather
alliterate|rhyme,rime
alliteration|rhyme,rime
allspice|bush,shrub,spice
allusion|mention,reference
alluvial|deposit,sediment
alluvium|deposit,sediment
almanac|annual,yearbook,yearly
almighty|omnipotent,powerful
alms|contribution,donation
aloha|acknowledgement,acknowledgment,ciao
aloof|distant,reserved,upstage
aloofness|distance,indifference,remoteness
aloud|loud,loudly
alp|mount,mountain
alphabetic|alphabetical,script
alphabetical|alphabetic,script
alright|fine,okay,satisfactory
also|besides,likewise,too
also-ran|contestant,loser
altar|construction,structure,table
alternation|sequence,succession
altruism|selflessness,unselfishness
altruistic|selfless,unselfish
always|e'er,ever,forever
am|americium,metal,modulation
amalgam|alloy,combination,metal
amalgamation|consolidation,integration,merger
amanuensis|secretary,stenographer
amaranth|grain,herb
amaretto|cordial,liqueur
amatory|amorous,loving,romantic
amazed|astonished,surprised
amazement|astonishment,feeling
amazingly|astonishingly,surprisingly
ambassadorial|diplomat,diplomatist
ambitiousness|ambition,drive
ambivalent|uncertain,unsure
ambler|pedestrian,stroller,walker
ambrosial|heavenly,tasty
ambulant|ambulatory,mobile
ambulation|walk,walking
amelioration|betterment,improvement,melioration
amenability|cooperativeness,flexibility,tractability
amendment|correction,rectification,statement
amenity|agreeableness,pleasantness,sweetness
amercement|fine,mulct,penalty
amethyst|chromatic,quartz
amiably|affably,genially
amity|cordiality,friendliness,peace
amnesiac|forgetful,mindless,unmindful
amoral|neutral,unmoral
amorous|amatory,loving,romantic
amphetamine|speed,stimulant,upper
amphibious|amphibian,class
amply|fully,richly
amputate|remove,take,withdraw
amulet|charm,talisman
anabolism|absorption,assimilation
anaerobe|being,organism
anaesthetic|anesthetic,drug,insensible
